event_id,state,affected_area_km2,population_exposed,area_norm,pop_norm,PSS,income_group
E122,Rajasthan,200340.45,48621805.0,1.0,0.4153,0.7076,Low
E123,Rajasthan,129139.1,31341529.0,0.6446,0.2677,0.4561,Low
E124,Rajasthan,111795.92,27132410.0,0.558,0.2317,0.3949,Low
E125,Sikkim,5832.12,577787.0,0.0291,0.0049,0.017,Low
E126,Sikkim,6419.16,635945.0,0.032,0.0054,0.0187,Low
E127,Sikkim,422.6,41867.0,0.0021,0.0003,0.0012,Low
E128,Tamil Nadu,3023.99,1799495.0,0.0151,0.0154,0.0152,Middle
E129,Tamil Nadu,40647.29,24188103.0,0.2029,0.2066,0.2047,Middle
E130,Tamil Nadu,32310.11,19226873.0,0.1612,0.1642,0.1627,Middle
E131,Tamil Nadu,754.24,448825.0,0.0037,0.0038,0.0038,Middle
E132,Tamil Nadu,105137.4,62564425.0,0.5248,0.5344,0.5296,Middle
E133,Tamil Nadu,31274.33,18610511.0,0.1561,0.159,0.1576,Middle
E134,Tamil Nadu,3260.94,1940495.0,0.0162,0.0166,0.0164,Middle
E135,Telangana,19993.15,6867745.0,0.0998,0.0587,0.0792,High
E136,Tripura,5638.24,2275512.0,0.0281,0.0194,0.0238,Low
E137,Tripura,46.52,18775.0,0.0002,0.0001,0.0002,Low
E138,Tripura,104.22,42062.0,0.0005,0.0003,0.0004,Low
E139,Tripura,433.82,175085.0,0.0021,0.0015,0.0018,Low
E140,Uttar Pradesh,403.55,404114.0,0.002,0.0034,0.0027,Low
E141,Uttar Pradesh,370.04,370558.0,0.0018,0.0032,0.0025,Low
E142,Uttar Pradesh,258.78,259138.0,0.0012,0.0022,0.0017,Low
E143,Uttar Pradesh,848.38,849566.0,0.0042,0.0072,0.0057,Low
E144,Uttar Pradesh,70111.95,70210015.0,0.3499,0.5997,0.4748,Low
E145,Uttar Pradesh,116910.37,117073899.0,0.5835,1.0,0.7917,Low
E146,Uttar Pradesh,39843.51,39899240.0,0.1988,0.3408,0.2698,Low
E147,Uttar Pradesh,58893.91,58976289.0,0.2939,0.5037,0.3988,Low
E148,Uttar Pradesh,84208.51,84326300.0,0.4203,0.7203,0.5703,Low
E149,Uttar Pradesh,73262.13,73364602.0,0.3657,0.6266,0.4962,Low
E150,Uttar Pradesh,100863.76,101004841.0,0.5034,0.8627,0.683,Low
E151,Uttar Pradesh,58671.85,58753916.0,0.2928,0.5018,0.3973,Low
E152,Uttarakhand,24902.89,5546962.0,0.1243,0.0474,0.0858,Low
E153,Uttarakhand,6836.4,1522764.0,0.0341,0.013,0.0235,Low
E154,Uttarakhand,38565.2,8590154.0,0.1925,0.0734,0.133,Low
E155,Uttarakhand,21532.62,4796254.0,0.1074,0.041,0.0742,Low
E156,Uttarakhand,9775.92,2177525.0,0.0488,0.0186,0.0337,Low
E157,Uttarakhand,23432.52,5219446.0,0.1169,0.0446,0.0808,Low
E158,Uttarakhand,22123.34,4927834.0,0.1104,0.0421,0.0762,Low
E159,Uttarakhand,12432.62,2769288.0,0.062,0.0236,0.0428,Low
E160,Uttarakhand,23860.2,5314710.0,0.1191,0.0454,0.0822,Low
E161,Uttarakhand,24544.32,5467093.0,0.1225,0.0467,0.0846,Low
E162,West Bengal,10464.07,11814056.0,0.0522,0.1009,0.0766,Middle
E163,West Bengal,35694.93,40299976.0,0.1781,0.3442,0.2612,Middle
E164,West Bengal,15456.8,17450897.0,0.0771,0.149,0.113,Middle
E165,West Bengal,6159.06,6953651.0,0.0307,0.0594,0.045,Middle
E166,West Bengal,28171.27,31805675.0,0.1406,0.2717,0.2062,Middle
E167,West Bengal,25358.39,28629908.0,0.1265,0.2445,0.1855,Middle
E168,West Bengal,39392.15,44474177.0,0.1966,0.3799,0.2882,Middle
