event_id,state,income_group,observed,expected,log_ratio
E166,West Bengal,Middle,0.5276,0.5731623313083675,-0.0828154923176496
E167,West Bengal,Middle,0.5619,0.5342356383964678,0.0504776720567469
E168,West Bengal,Middle,0.4176,0.3714554681463418,0.1170653098868549
E17,Andhra Pradesh,Middle,0.4233,0.4058279929475564,0.0421415721007215
E77,Kerala,Middle,0.6575,0.6336721736283422,0.0369073014749265
E78,Kerala,Middle,0.5772,0.4976220663053815,0.1483202406262815
E79,Kerala,Middle,0.4291,0.4635313954230218,-0.0771668193458225
E80,Kerala,Middle,0.4542,0.4657232328043068,-0.0250484606508177
E06,Uttarakhand,Low,0.4678,0.3328845986374482,0.3401583592992998
E07,Uttar Pradesh,Low,0.4295,0.4058402145368696,0.0566486492712764
E10,Odisha,Low,0.3028,0.3662697348882497,-0.1902403100675814
E102,Meghalaya,Low,0.3664,0.4977332047924551,-0.3062665694606894
E103,Meghalaya,Low,0.3184,0.4004443033690405,-0.2292019055256554
E104,Meghalaya,Low,0.2668,0.3688837231900488,-0.3238784760610741
E105,Meghalaya,Low,0.2787,0.3317514061678178,-0.1741926180562917
E106,Mizoram,Low,0.2832,0.3014808814968138,-0.0625318370255288
E109,Nagaland,Low,0.3816,0.4475217028745102,-0.1593135027195872
E11,Himachal Pradesh,Low,0.4949,0.5200871824355211,-0.0496309504566415
E110,Nagaland,Low,0.4548,0.4933746457514685,-0.0813938665876312
E112,Odisha,Low,0.4366,0.289349408055418,0.4112659350353814
E113,Odisha,Low,0.4166,0.4702431119362514,-0.1210959153330513
E114,Odisha,Low,0.4726,0.5470958104240461,-0.146345772091035
E115,Odisha,Low,0.4676,0.5160996771333085,-0.0986665970842644
E122,Rajasthan,Low,0.5682,0.5008606811903554,0.1261218309559522
E123,Rajasthan,Low,0.3784,0.5061720585276626,-0.2908581169943171
E124,Rajasthan,Low,0.5474,0.592454179719448,-0.0790798497024832
E127,Sikkim,Low,0.125,0.3372066996307791,-0.9918791869257328
E136,Tripura,Low,0.3308,0.418592812486174,-0.2353212916883646
E137,Tripura,Low,0.3399,0.3535759704063387,-0.0394355385108775
E138,Tripura,Low,0.4086,0.3600293025099408,0.1265182499687618
E139,Tripura,Low,0.3528,0.3456955786513234,0.020336943368825
E140,Uttar Pradesh,Low,0.4557,0.3793793541707962,0.1832539241677796
E141,Uttar Pradesh,Low,0.4426,0.4420091753656662,0.0013354850708955
E144,Uttar Pradesh,Low,0.6772,0.5911176060746058,0.13593015679584
E145,Uttar Pradesh,Low,0.4454,0.3586041101864667,0.2166994038755026
E146,Uttar Pradesh,Low,0.6238,0.5672825956604682,0.0949562510572279
E147,Uttar Pradesh,Low,0.6201,0.6423847967646645,-0.0353011471999718
E148,Uttar Pradesh,Low,0.6444,0.5430828413333537,0.1710288347534173
E149,Uttar Pradesh,Low,0.4684,0.4352876896554936,0.0732992269215273
E150,Uttar Pradesh,Low,0.4149,0.3591233169791706,0.1443342722703362
E151,Uttar Pradesh,Low,0.4731,0.4739111486573535,-0.0017127096884086
E152,Uttarakhand,Low,0.3846,0.4633274236971695,-0.1861859798096069
E153,Uttarakhand,Low,0.3124,0.3432552814909968,-0.0941612480086991
E154,Uttarakhand,Low,0.3718,0.4047104798042127,-0.0847940055515199
E155,Uttarakhand,Low,0.4814,0.6185352654663197,-0.250609635901153
E156,Uttarakhand,Low,0.5505,0.519824774829786,0.0573244553867222
E157,Uttarakhand,Low,0.3856,0.4624940092157411,-0.1817899342523087
E158,Uttarakhand,Low,0.5588,0.5956067516975172,-0.0637779523513603
E159,Uttarakhand,Low,0.3267,0.4288194487584885,-0.2719207731803615
E160,Uttarakhand,Low,0.2383,0.3778075822342906,-0.4606997390918118
E161,Uttarakhand,Low,0.3672,0.3398513400021717,0.0773764630983928
E18,Arunachal Pradesh,Low,0.2295,0.3547563383635485,-0.4353743624586254
E19,Arunachal Pradesh,Low,0.3383,0.5208296347810566,-0.4313863468983347
E22,Arunachal Pradesh,Low,0.2916,0.276415683484591,0.0534583360566289
E26,Assam,Low,0.4881,0.5468870378291757,-0.1136999473435457
E27,Assam,Low,0.465,0.5170048591842417,-0.1059932401193511
E28,Assam,Low,0.2839,0.3951987805328568,-0.3306676472210589
E29,Assam,Low,0.5827,0.6013211853911521,-0.0314514224023416
E31,Assam,Low,0.5041,0.4686481834779654,0.0729073127237146
E32,Assam,Low,0.378,0.4224918718679009,-0.111248160469956
E34,Bihar,Low,0.5751,0.5361297573258256,0.0701550854536545
E35,Bihar,Low,0.4351,0.500473323250011,-0.1399483924834874
E36,Bihar,Low,0.6046,0.5871724956834604,0.0292435376480169
E37,Bihar,Low,0.5452,0.5956040873853264,-0.0884079441619237
E38,Bihar,Low,0.396,0.4102815900437099,-0.0354207296545547
E39,Chhattisgarh,Low,0.4771,0.5373082756945606,-0.118822405345126
E40,Chhattisgarh,Low,0.3816,0.4360671864802813,-0.1333906653276854
E41,Chhattisgarh,Low,0.5261,0.6074885718289139,-0.1438165932303662
E59,Himachal Pradesh,Low,0.391,0.3803230188564054,0.0276794406802115
E60,Himachal Pradesh,Low,0.4113,0.3679468296430392,0.1113557926813079
E61,Himachal Pradesh,Low,0.3932,0.5042885080531507,-0.2487741409936745
E62,Himachal Pradesh,Low,0.5076,0.5620018552315327,-0.1017923485856733
E63,Himachal Pradesh,Low,0.5132,0.4797847860796979,0.0673144234765213
E64,Himachal Pradesh,Low,0.5725,0.4908252503119149,0.153895516149733
E65,Himachal Pradesh,Low,0.4476,0.3109352558226065,0.364217096719105
E66,Himachal Pradesh,Low,0.281,0.3519392496484948,-0.2250321961526496
E68,Jammu and Kashmir,Low,0.48,0.431243785074783,0.1070889981978932
E69,Jharkhand,Low,0.3482,0.4649347027757826,-0.2890478550560876
E70,Jharkhand,Low,0.4461,0.5471597556405604,-0.2041562809072468
E71,Jharkhand,Low,0.3475,0.426864289664344,-0.20564798557748
E83,Madhya Pradesh,Low,0.5212,0.4326682301294368,0.18612337236716
E84,Madhya Pradesh,Low,0.4201,0.3623196099476645,0.147928104371426
E85,Madhya Pradesh,Low,0.5431,0.5543973083566307,-0.020584376353145
E86,Madhya Pradesh,Low,0.6408,0.5320119085048157,0.1860196169575469
E87,Madhya Pradesh,Low,0.4582,0.4136299788192769,0.1023104555552783
E88,Madhya Pradesh,Low,0.3819,0.2441106621677483,0.4473893862625206
